0	63244	63
1	32705	65
2	22262	66
3	16898	67
4	13829	69
5	11707	70
6	10215	72
7	9016	72
8	8068	73
9	7333	74
10	6730	74
11	6214	75
12	5785	76
13	5428	77
14	5145	78
15	4875	79
16	4643	80
17	4403	80
18	4256	82
19	4131	84
20	3985	85
21	3873	87
22	3732	87
23	3636	89
24	3549	91
25	3447	92
26	3344	92
27	3262	93
28	3168	94
29	3071	94
30	2981	95
31	2903	95
32	2825	96
33	2777	97
34	2760	100
35	2711	101
36	2657	102
37	2610	103
38	2677	108
39	2622	109
40	2575	110
41	2521	110
42	2472	111
43	2428	111
44	2406	113
45	2361	113
46	2318	114
47	2274	114
48	2247	115
49	2220	116
50	2193	117
51	2164	118
52	2131	119
53	2096	119
54	2062	120
55	2038	120
56	2009	121
57	1986	122
58	1963	123
59	1939	123
60	1913	124
61	1888	124
62	1867	125
63	1846	126
64	1822	126
65	1798	127
66	1776	127
67	1755	128
68	1738	128
69	1716	129
70	1701	130
71	1692	131
72	1693	133
73	1692	135
74	1684	136
75	1669	137
76	1652	137
77	1645	139
78	1636	140
79	1627	141
80	1614	142
81	1605	143
82	1595	144
83	1586	145
84	1577	146
85	1567	147
86	1553	148
87	1551	149
88	1549	151
89	1597	158
90	1597	159
91	1586	160
92	1574	161
93	1560	161
94	1544	162
95	1529	162
96	1515	162
97	1501	163
98	1490	163
99	1479	164
100	1467	164
101	1456	165
102	1449	166
103	1441	167
104	1431	167
105	1426	169
106	1419	170
107	1408	170
108	1400	171
109	1395	172
110	1389	173
111	1384	174
112	1378	175
113	1371	176
114	1364	177
115	1358	178
116	1352	179
117	1345	180
118	1339	180
119	1334	181
120	1329	183
121	1330	184
122	1327	186
123	1323	187
124	1316	188
125	1308	188
126	1310	190
127	1304	191
128	1297	192
129	1289	192
130	1281	193
131	1273	193
132	1264	194
133	1259	194
134	1254	195
135	1247	196
136	1242	197
137	1237	198
138	1230	198
139	1226	199
140	1223	200
141	1217	201
142	1212	202
143	1206	202
144	1202	203
145	1195	204
146	1191	205
147	1187	206
148	1185	207
149	1180	208
150	1175	209
151	1173	210
152	1171	211
153	1166	212
154	1161	213
155	1155	213
